#	Valor	ID	Clase	IDAtomo	Atomo
327	str[1]	1	10:STRING	53	"	87
328	)	41	7:SPECIAL	44	)	87
329	END	7	0:KEYWORD	7	f	88
330	;	59	7:SPECIAL	48	;	88
331	IF	9	0:KEYWORD	9	s	89
332	id[2]	2	1:ID	20	a	89
333	=	2	6:R_OPER	39	¿	89
334	id[3]	3	1:ID	20	a	89
335	THEN	15	0:KEYWORD	15	h	89
336	id[5]	5	1:ID	20	a	90
337	:=	0	11:ASSIGN	54	=	90
338	90	0	8:INT_LIT	51	n	90
339	;	59	7:SPECIAL	48	;	90
340	;	59	7:SPECIAL	48	;	90
341	IF	9	0:KEYWORD	9	s	91
342	id[7]	7	1:ID	20	a	91
343	=	2	6:R_OPER	39	¿	91
344	id[8]	8	1:ID	20	a	91
345	THEN	15	0:KEYWORD	15	h	91
346	id[5]	5	1:ID	20	a	92
347	:=	0	11:ASSIGN	54	=	92
348	90	0	8:INT_LIT	51	n	92
349	;	59	7:SPECIAL	48	;	92
350	;	59	7:SPECIAL	48	;	92
351	REPEAT	14	0:KEYWORD	14	@	93
352	id[9]	9	1:ID	20	a	93
353	:=	0	11:ASSIGN	54	=	93
354	id[10]	10	1:ID	20	a	93
355	+	43	5:A_OPER	33	+	93
356	1	0	8:INT_LIT	51	n	93
357	UNTIL	17	0:KEYWORD	17	k	93
358	id[9]	9	1:ID	20	a	93
359	>	4	6:R_OPER	41	>	93
360	9	0	8:INT_LIT	51	n	93
361	;	59	7:SPECIAL	48	;	93
362	REPEAT	14	0:KEYWORD	14	@	94
363	id[9]	9	1:ID	20	a	94
364	:=	0	11:ASSIGN	54	=	94
365	id[10]	10	1:ID	20	a	94
366	+	43	5:A_OPER	33	+	94
367	1	0	8:INT_LIT	51	n	94
368	UNTIL	17	0:KEYWORD	17	k	94
369	id[9]	9	1:ID	20	a	94
370	>	4	6:R_OPER	41	>	94
371	9	0	8:INT_LIT	51	n	94
372	;	59	7:SPECIAL	48	;	94
373	FOR	8	0:KEYWORD	8	p	95
374	id[5]	5	1:ID	20	a	95
375	:=	0	11:ASSIGN	54	=	95
376	57005	0	8:INT_LIT	51	n	95
377	DOWNTO	5	0:KEYWORD	5	d	95
378	id[11]	11	1:ID	20	a	95
379	DO	4	0:KEYWORD	4	z	95
380	BEGIN	2	0:KEYWORD	2	e	96
381	writeln	5	4:PROCED	32	m	97
382	(	40	7:SPECIAL	43	(	97
383	str[1]	1	10:STRING	53	"	97
384	)	41	7:SPECIAL	44	)	97
385	END	7	0:KEYWORD	7	f	98
386	;	59	7:SPECIAL	48	;	98
387	id[2]	2	1:ID	20	a	99
388	:=	0	11:ASSIGN	54	=	99
389	5	0	8:INT_LIT	51	n	99
390	;	59	7:SPECIAL	48	;	99
391	id[3]	3	1:ID	20	a	100
392	:=	0	11:ASSIGN	54	=	100
393	id[2]	2	1:ID	20	a	100
394	+	43	5:A_OPER	33	+	100
395	3	0	8:INT_LIT	51	n	100
396	;	59	7:SPECIAL	48	;	100
397	IF	9	0:KEYWORD	9	s	101
398	id[2]	2	1:ID	20	a	101
399	>=	5	6:R_OPER	42	$	101
400	18	0	8:INT_LIT	51	n	101
401	THEN	15	0:KEYWORD	15	h	101
402	BEGIN	2	0:KEYWORD	2	e	102
403	id[3]	3	1:ID	20	a	103
404	:=	0	11:ASSIGN	54	=	103
405	40	0	8:INT_LIT	51	n	103
406	END	7	0:KEYWORD	7	f	104
407	;	59	7:SPECIAL	48	;	104
408	;	59	7:SPECIAL	48	;	104
409	writeln	5	4:PROCED	32	m	105
410	(	40	7:SPECIAL	43	(	105
411	str[0]	0	10:STRING	53	"	105
412	)	41	7:SPECIAL	44	)	105
413	4	0	8:INT_LIT	51	n	105
414	;	59	7:SPECIAL	48	;	105
415	IF	9	0:KEYWORD	9	s	106
416	id[2]	2	1:ID	20	a	106
417	=	2	6:R_OPER	39	¿	106
418	60	0	8:INT_LIT	51	n	106
419	THEN	15	0:KEYWORD	15	h	106
420	id[5]	5	1:ID	20	a	107
421	:=	0	11:ASSIGN	54	=	107
422	0	0	8:INT_LIT	51	n	107
423	;	59	7:SPECIAL	48	;	107
424	;	59	7:SPECIAL	48	;	107
425	FOR	8	0:KEYWORD	8	p	108
426	id[5]	5	1:ID	20	a	108
427	:=	0	11:ASSIGN	54	=	108
428	57005	0	8:INT_LIT	51	n	108
429	DOWNTO	5	0:KEYWORD	5	d	108
430	id[6]	6	1:ID	20	a	108
431	+	43	5:A_OPER	33	+	108
432	8	0	8:INT_LIT	51	n	108
433	DO	4	0:KEYWORD	4	z	108
434	BEGIN	2	0:KEYWORD	2	e	109
435	writeln	5	4:PROCED	32	m	110
436	(	40	7:SPECIAL	43	(	110
437	str[1]	1	10:STRING	53	"	110
438	)	41	7:SPECIAL	44	)	110
439	END	7	0:KEYWORD	7	f	111
440	;	59	7:SPECIAL	48	;	111
441	IF	9	0:KEYWORD	9	s	112
442	id[2]	2	1:ID	20	a	112
443	=	2	6:R_OPER	39	¿	112
444	id[3]	3	1:ID	20	a	112
445	THEN	15	0:KEYWORD	15	h	112
446	id[5]	5	1:ID	20	a	113
447	:=	0	11:ASSIGN	54	=	113
448	90	0	8:INT_LIT	51	n	113
449	;	59	7:SPECIAL	48	;	113
450	;	59	7:SPECIAL	48	;	113
451	IF	9	0:KEYWORD	9	s	114
452	id[7]	7	1:ID	20	a	114
453	=	2	6:R_OPER	39	¿	114
454	id[8]	8	1:ID	20	a	114
455	THEN	15	0:KEYWORD	15	h	114
456	id[5]	5	1:ID	20	a	115
457	:=	0	11:ASSIGN	54	=	115
458	90	0	8:INT_LIT	51	n	115
459	;	59	7:SPECIAL	48	;	115
460	;	59	7:SPECIAL	48	;	115
461	REPEAT	14	0:KEYWORD	14	@	116
462	id[9]	9	1:ID	20	a	116
463	:=	0	11:ASSIGN	54	=	116
464	id[10]	10	1:ID	20	a	116
465	+	43	5:A_OPER	33	+	116
466	1	0	8:INT_LIT	51	n	116
467	UNTIL	17	0:KEYWORD	17	k	116
468	id[9]	9	1:ID	20	a	116
469	>	4	6:R_OPER	41	>	116
470	9	0	8:INT_LIT	51	n	116
471	;	59	7:SPECIAL	48	;	116
472	REPEAT	14	0:KEYWORD	14	@	117
473	id[9]	9	1:ID	20	a	117
474	:=	0	11:ASSIGN	54	=	117
475	id[10]	10	1:ID	20	a	117
476	+	43	5:A_OPER	33	+	117
477	1	0	8:INT_LIT	51	n	117
478	UNTIL	17	0:KEYWORD	17	k	117
479	id[9]	9	1:ID	20	a	117
480	>	4	6:R_OPER	41	>	117
481	9	0	8:INT_LIT	51	n	117
482	;	59	7:SPECIAL	48	;	117
483	FOR	8	0:KEYWORD	8	p	118
484	id[5]	5	1:ID	20	a	118
485	:=	0	11:ASSIGN	54	=	118
486	57005	0	8:INT_LIT	51	n	118
487	DOWNTO	5	0:KEYWORD	5	d	118
488	id[11]	11	1:ID	20	a	118
489	DO	4	0:KEYWORD	4	z	118
490	BEGIN	2	0:KEYWORD	2	e	119
491	writeln	5	4:PROCED	32	m	120
492	(	40	7:SPECIAL	43	(	120
493	str[1]	1	10:STRING	53	"	120
494	)	41	7:SPECIAL	44	)	120
495	END	7	0:KEYWORD	7	f	121
496	;	59	7:SPECIAL	48	;	121
497	id[2]	2	1:ID	20	a	122
498	:=	0	11:ASSIGN	54	=	122
499	5	0	8:INT_LIT	51	n	122
500	;	59	7:SPECIAL	48	;	122
501	id[3]	3	1:ID	20	a	123
502	:=	0	11:ASSIGN	54	=	123
503	id[2]	2	1:ID	20	a	123
504	+	43	5:A_OPER	33	+	123
505	3	0	8:INT_LIT	51	n	123
506	;	59	7:SPECIAL	48	;	123
507	IF	9	0:KEYWORD	9	s	124
508	id[2]	2	1:ID	20	a	124
509	>=	5	6:R_OPER	42	$	124
510	18	0	8:INT_LIT	51	n	124
511	THEN	15	0:KEYWORD	15	h	124
512	BEGIN	2	0:KEYWORD	2	e	125
513	id[3]	3	1:ID	20	a	126
514	:=	0	11:ASSIGN	54	=	126
515	40	0	8:INT_LIT	51	n	126
516	END	7	0:KEYWORD	7	f	127
517	;	59	7:SPECIAL	48	;	127
518	;	59	7:SPECIAL	48	;	127
519	writeln	5	4:PROCED	32	m	128
520	(	40	7:SPECIAL	43	(	128
521	str[0]	0	10:STRING	53	"	128
522	)	41	7:SPECIAL	44	)	128
523	4	0	8:INT_LIT	51	n	128
524	;	59	7:SPECIAL	48	;	128
525	IF	9	0:KEYWORD	9	s	129
526	id[2]	2	1:ID	20	a	129
527	=	2	6:R_OPER	39	¿	129
528	60	0	8:INT_LIT	51	n	129

#	Valor	ID	Clase	IDAtomo	Atomo
0	THEN	15	0:KEYWORD	15	h	129
1	id[5]	5	1:ID	20	a	130
2	:=	0	11:ASSIGN	54	=	130
3	0	0	8:INT_LIT	51	n	130
4	;	59	7:SPECIAL	48	;	130
5	;	59	7:SPECIAL	48	;	130
6	FOR	8	0:KEYWORD	8	p	131
7	id[5]	5	1:ID	20	a	131
8	:=	0	11:ASSIGN	54	=	131
9	57005	0	8:INT_LIT	51	n	131
10	DOWNTO	5	0:KEYWORD	5	d	131
11	id[6]	6	1:ID	20	a	131
12	+	43	5:A_OPER	33	+	131
13	8	0	8:INT_LIT	51	n	131
14	DO	4	0:KEYWORD	4	z	131
15	BEGIN	2	0:KEYWORD	2	e	132
16	writeln	5	4:PROCED	32	m	133
17	(	40	7:SPECIAL	43	(	133
